Client PDF → original scope → current code mapping
Client PDF complaint	Original scope reference	Current code / app evidence	Classification
Replace logo, rename CRM to FYX, change login wording	No branding specification in the XLSX	client/src/pages/Login.tsx still renders “Interiors by DeX” and “CRM Platform — Sign in.”	Change request / feature creep
CRM logs out after 15–20 minutes while in use	No explicit session-duration requirement	server/src/routes/auth.ts returns a refresh token, but client/src/pages/Login.tsx saves only crm_token; client/src/lib/api.ts logs the user out on a 401 and never refreshes the session.	Confirmed defect
Rename the gate prompt to FYX wording	Scope requires stage movement/gates, not copywriting	No FYX terminology exists in current gate UI/configuration.	Change request / feature creep
On Hold and Inactive should use the same portal format as Active	XLSX 2.4–2.6: list view, Inactive and On Hold states	Current Pipeline.tsx treats status separately from stages and has Active/On Hold/Inactive tabs.	Already addressed in current source
Show unread/new lead count	Dashboard requires totals by period, not unread counters	No original requirement for unopened/unread lead counting.	Change request / feature creep
Lead-tab filters must match Sales Pipeline; add Expected OB Date; change filter flow/headings	XLSX 2.7, 2.8 and report filtering 14.14	Current LeadList.tsx and Pipeline.tsx both send the key filter parameters; Expected OB Date is present in LeadList.tsx, and the backend parses it in server/src/routes/leads.ts. Exact visual parity/headings need browser verification.	Already addressed in current source for core filters; SOW bug candidate — reproduce for visual headings/layout
Replace Designer filter with Lead Origin Date	XLSX 2.7 explicitly requires Designer filtering and date-range filtering	Removing Designer would reduce a specified original filter.	Scope conflict
Date-wise notification feed for calls, meetings, tasks, SLA breaches	XLSX 3.4–3.6, 9.1–9.7	NotificationList.tsx groups notifications by day; overdue-task notifications are scheduled in midnightOverdueTask.ts. Event-by-event coverage needs testing.	SOW bug candidate — reproduce
Remove Intent Rating and replace it with stage-days/TAT/budget table	XLSX 1.7 explicitly requires High/Medium/Low intent	Intent remains stored/filterable in the source. TAT/SLA reporting is adjacent scope, but replacing intent is not.	Scope conflict for removing intent; change request for the new table
Intent should auto-update at every stage movement	XLSX 1.7 requires intent, but does not prescribe an automatic stage-scoring engine	Current intent scoring is based on meeting information, not a defined stage-by-stage rule.	Change request / feature creep
Latest quote is not reflected in Lead Details	XLSX 5.3 and 5.5 require quote activity and lead-level quote visibility	LeadDetail.tsx fetches quotes from /quotes/lead/:leadId; sorting/refresh behavior must be tested with an actual latest quote.	SOW bug candidate — reproduce
Country-specific phone-code and digit validation	XLSX requires phone capture, not country-specific validation	No international validation rules were promised.	Change request / feature creep
Rename Move-in/Possession Date to Expected Interiors Handover Date	XLSX 1.6 requires possession timeline	Same business concept, but exact label was not specified.	Change request
Permit skips of DQL, PR and PD, while retaining skipped-stage requirements	Original scope describes a pipeline but does not explicitly define skipping	Current stageRequirements.ts and leads.ts explicitly allow DQL, Proposal Ready and Proposal Discussion skipping and accumulate the appropriate requirements.	Already addressed in current source
PP → OB cannot progress because the PD file/checklist is not available	No specific PD-file-folder design in original SOW	Current stage requirement code handles Proposal Discussion skip rules; actual file visibility must be tested in the browser.	SOW bug candidate — reproduce for the current UI; file-folder design itself is later scope
OB checklist meeting does not appear in Meetings tab	XLSX 4.1–4.8 requires meeting scheduling, statuses and MOM workflow	Current app has dedicated meetings and OB/OBM checklist components, but the cross-tab refresh/sync must be reproduced.	SOW bug candidate — reproduce
OB checklist only updates after a full refresh	Checklists are not a named original-SOW module; meeting workflow is	Current code has checklist components and API-driven state. Live-refresh behavior cannot be proven statically.	Later-module bug candidate — reproduce
OB → OBM must require client-confirmation checkbox; remove generated quote gate	OBM stage and exact gate rules are not defined in original scope	Current stage rules and checklist logic exist, but this is a new gate policy beyond the XLSX.	Change request / feature creep
Welcome-mail attachment is missing	XLSX requires onboarding email and email preview; it does not specify a welcome-mail attachment	Attachment requirement is not an original deliverable.	Change request; current mail behavior should still be tested separately
OBM → DIP requires mail-approval screenshot; DIP checklist items changed	XLSX comments mention post-onboarding controls and NPS before DIP, but not screenshots or this detailed checklist	Current source has DIP/OBM checklist gates. Screenshot evidence and exact checklist policy are later additions.	Partial scope change
Cannot move to DIP after completing current gates	XLSX comments make DIP/post-onboarding completion part of the expected process	Current server contains explicit OBM → DIP gate logic. The reported block must be reproduced against current data.	SOW bug candidate — reproduce
Add project team members; BL approval; one primary designer	XLSX covers lead assignment and roles, not project-team membership or primary-designer modeling	TeamTab.tsx now exists, so the PDF likely predates later work; primary-designer policy still needs checking.	Change request, with some later implementation already present
Show Client NPS next to lead; distinguish NPS from intent	XLSX comments mention NPS after onboarding, but not an NPS display system	Current lead API exposes NPS-related data; exact display/score design exceeds scope.	Partial scope change
Roadmap text is cut off	XLSX 2.1–2.3 requires a usable visual pipeline	Client PDF is evidence of a UI issue, but current responsive UI needs verification.	SOW bug candidate — reproduce
